Name,ICAL,ICAR,MCAL,MCAR,ACAL,ACAR,BAP,BAD,9,10,11,12
41_CROP054,35,37,36,38,,,0,75,19,9,18,10
42_CROP055,33,69,22,67,23,,103,93,,,,
43_CROP057,4,18,6,17,,,23,3,2,,5,
44_CROP058,105,51,7,2,8,1,27,63,,40,,39
45_CROP059,90,138,11,137,12 34,35,1,2,20 21,3,32 89,134
46_CROP060,8,31,5,28,4,45,129,157,,,,
47_CROP061,102,78,98,26,,27,43,20,,5,,4
48_CROP062,10,23,0,19,1,107,124,134,,,,
49_CROP063,11,39,8,27,,,140,144,,,,41
50_CROP065,151,0,108,4,109,17,51,52,,51,,2
51_CROP066,135,4,119,7,118,,71,0,,,,7
52_CROP067,0,60,2,26,33,,83,84,,,,
53_CROP068,8,80,6,5,,4,102,19,9,,7,55
54_CROP069,25,110,23,112,,,0,29,62,30,24,111
55_CROP070,23,89,9,77,,78,5,82,,81,,80
56_CROP071,69,16,6,15,7,14,24,75,76,,70,
57_CROP073,135,121,3,41,,,51,52,56,,55,
58_CROP074,99,174,86,90,,,0,1,2,,75,
59_CROP075,106,124,22,122,23,50,63,64,60,,61,122
60_CROP076,30,74,28,12,,,2,3,,58,,11
61_CROP077,20,69,12,58,,61,122,112,,,,
62_CROP078,18,59,14,63,,,133,132,,,,
63_CROP079,103,32,79,30,,61,140,132,,,,31
64_CROP080,13,90,14,91,32,,77,78,,79,,91
65_CROP081,58,3,12,2,,,86,85,,,,
66_CROP082,104,0,16,2,17,3,152,145,,,,
67_CROP083,92,127,86,126,,,31,39,,,,
68_CROP085,18,72,6,41,7,,30,29,,48,0,47
69_CROP087,44,1,43,0,,,85,86,,,,
70_CROP088,28,128,5,54,6 53,55,2,3,,34,26,35
71_CROP090,0,100,3,16,,17,23,51,92,14,2,15
72_CROP091,6,11,7,10,,,96,95,,,,
73_CROP092,23,129,19,0,32,1,177,183,,,12,81
74_CROP094,13,32,10,31,86,99,120,144,,,,
75_CROP095,24,15,22,3,,4,75,76,,,,
76_CROP097,66,149,63,23,,,1,0,89,19,64,146
77_CROP098,35,6,38,9,119,21,56,145,89,122,36,8
78_CROP099,33,46,31,43,,,80,81,,,,
79_CROP100,10,28,9,26,51,,97,117,,,,
80_CROP102,0,8,3,12,4,117,22,21,97,99,2,10
81_CROP104,116,78,118,1,21,0,50,26,,27,,39
82_CROP105,18,6,20,5,32,41,95,96,,,,
83_CROP106,39,15,6,19,5,73,152,182,,,,
84_CROP107,22,13,7,12,,,98,99,,,,
85_CROP108,61,27,60,29,,,95,94,,,,
86_CROP109,102,29,89,30,,,52,3,,4,,19
87_CROP111,40,88,38,9,140,10,21,36,35,,39,41
88_CROP112,95,36,80,12,,,106,111,,,,
89_CROP114,6,61,3,60,,,130,139,,,,
90_CROP115,112,20,70,23,47,46,6,5,,4,,22
91_CROP117,73,62,59,56,60,57,126,125,,,,4
92_CROP118,16,107,32,106,62,63,115,125,,,,
93_CROP120,16,37,15,38,,,101,102,,,,
94_CROP122,20,98,18,113,31,111,161,137,,,,
95_CROP126,136,53,95,55,,,43,42,,25,,24
97_CROP131,109,31,96,33,,,4,3,,2,,5
98_CROP132,86,32,59,17,,,14,13,58,12,85,34
99_CROP133,25,100,8,48,9,,144,147,,,,
100_CROP134,59,86,11,5,12,6,19,20,104,21,61,85
101_CROP135,124,11,113,12,,,3,4,,28,,12
102_CROP139,34,82,32,27,,,159,140,,,7,
103_CROP141,150,54,147,0,,,13,23,25,66,133,56
104_CROP142,60,14,61,13,52,53,118,128,,,,
105_CROP143,67,39,61,6,,7,115,119,,,,
106_CROP144,95,153,31,82,30,,36,37,38,22,88,23
107_CROP145,209,52,11,35,,,5,4,,3,,54
108_CROP146,11,22,3,21,2,52,129,100,,,,
109_CROP147,0,28,1,27,14,25,178,177,,,,
110_CROP148,52,99,54,100,74,91,5,6,,,,
111_CROP149,29,96,18,17,,,6,5,63,4,18,41
112_CROP150,7,81,0,80,1,,171,168,,,,
113_CROP151,16,73,18,72,48,,6,7,8,,17,
114_CROP152,58,25,44,23,,27,110,99,,,,
115_CROP153,8,14,6,12,46,45,112,122,,,,
116_CROP154,22,94,24,62,,,139,122,,,,
117_CROP156,35,77,7,76,8,,,96,,,23,
118_CROP159,167,145,71,79,70,,50,13,14,,65,
119_CROP160,42,55,33,56,,,89,87,,,,
120_CROP161,70,3,67,0,66,24,5,6,,7,,1
121_CROP162,100,20,27,0,,18,35,92,47,7,48,8
122_CROP163,139,30,46,28,45,34,4,5,59,,58,
123_CROP164,125,13,122,9,,26,92,75,,,,
124_CROP169,36,42,34,2,,3,129,118,,,,
125_CROP170,91,70,89,0,,,46,30,,9,,7
126_CROP171,26,62,23,64,91,90,138,111,,,,
127_CROP172,29,156,14,134,,,23,33,106,,28,
128_CROP173,102,17,96,4,97,,29,26,,50,,51
129_CROP174,16,134,18,127,1,,5,40,41,,17,
130_CROP176,90,19,85,7,84,8,24,23,,21,,17
131_CROP177,3,33,0,25,70,24,4,9,7,,1,26
132_CROP178,15,67,12,66,,,,103,,,,
133_CROP179,74,55,73,12,,,97,93,,,,47
134_CROP180,29,118,27,134,9,10,70,71,,,,
135_CROP183,62,36,78,40,,,117,106,,,,
136_CROP192,86,17,41,39,,32,4,9,42,81,41,80
137_CROP901,14,107,12,101,,,116,123,,,,
138_CROP902,27,50,6,51,,,84,85,,,,
139_CROP903,28,76,10,78,,,94,95,,,,61
140_CROP904,91,5,57,16,,,30,29,,17,,16
141_CROP905,92,124,14,4,13,5,23,103,,26,,25
