Name,ICAL,ICAR,MCAL,MCAR,ACAL,ACAR,BAP,BAD,9,10,11,12
64_0_7086_U,35,69,32,60,77,59,29,10,63,9,33,67
65_0_7087_U,39,5,1,7,0,59,,,,,19,
66_0_7088_U,19,9,16,7,40,41,,70,,,17,
67_0_7089_U,51,3,52,5,,,17,0,,11,,4
68_0_7090_U,40,0,41,2,,,90,89,,,,
69_0_7092_U,34,24,4,11,3,12,13,35,49,36,32,22
70_0_7093_U,0,43,3,25,16,24,27,12,13,,2,
71_0_7094_U,25,51,2,49,,,79,80,,,,
72_0_7095_U,10,2,13,5,,,0,66,70,27,12,4
73_0_7096_U,0,87,5,85,11,22,19,15,21,,3,
74_0_7097_U,8,46,6,44,,,71,79,,,,
75_0_7098_U,16,47,14,50,,,,84,,,,49
76_0_7099_U,72,54,13,0,,,14,45,76,44,73,55
77_0_7100_U,38,61,0,59,1,,80,76,,,,
78_0_7101_U,15,30,6,14,7,8,22,23,24,,16,
79_0_7103_U,48,37,47,14,,,40,13,,39,,36
80_0_7105_U,45,0,28,2,27,29,68,73,,,,
81_0_7106_U,24,57,22,55,,,17,0,1,,7,
82_0_7107_U,16,43,10,9,1,0,90,86,,,,
83_0_7108_U,39,13,38,0,,,63,62,,,,
84_0_7109_U,40,31,36,29,37,69,89,86,,,,
85_0_7111_U,13,47,14,48,,,60,58,,,,
86_0_7113_U,54,63,29,4,30,5,66,64,,,,
87_0_7114_U,44,61,43,2,0,1,69,70,,,,
88_0_7116_U,33,18,31,21,76,84,40,2,,58,,20
89_0_7117_U,31,10,30,12,6,5,17,3,,2,,4
90_0_7118_U,18,77,9,72,10,,78,84,,,,
91_0_7119_U,72,22,70,24,71,79,20,34,69,,68,
92_0_7120_U,48,50,10,9,11,8,76,72,,,,
93_0_7121_U,36,5,17,4,16,39,54,46,,,,
94_0_7122_U,24,43,6,45,1,,76,91,,,,
95_0_7123_U,85,37,86,4,,,46,5,,22,,21
96_0_7124_U,0,35,3,11,29,10,66,63,,,,
97_0_7125_U,66,12,67,0,,,,8,,8,53,9
98_0_7126_U,25,48,4,47,3,,,70,,,,47
99_0_7127_U,51,16,54,9,,,,20,,20,53,14
100_0_7128_U,59,23,50,0,51,1,80,79,,,,
101_0_7129_U,75,24,46,3,,,78,79,,,,
102_0_7130_U,39,20,38,21,58,65,77,75,,,,
103_0_7131_U,39,77,41,8,71,7,86,88,,,,
104_0_7132_U,18,39,20,0,2,1,75,76,,,,
105_0_7133_U,3,55,5,53,,43,72,77,,,,
106_0_7134_U,29,76,32,74,,,6,5,18,,31,
107_0_7135_U,66,6,65,4,67,,95,94,,,,
108_0_7136_U,21,49,14,51,,,81,80,,,,
109_0_7137_U,16,21,0,24,,,30,29,39,28,15,23
110_0_7138_U,8,32,5,31,16,30,10,11,98,,6,
111_0_7139_U,82,19,62,16,63,,9,8,,7,,17
112_0_7140_U,100,56,82,12,,,,66,,66,102,54
113_0_7141_U,51,10,50,8,,,89,88,,,,
114_0_7142_U,29,66,32,65,,,14,4,5,8,31,9
115_0_7143_U,15,44,9,46,8,67,91,87,,,,
116_0_7145_U,38,59,39,56,0,,,,,,,57
117_0_7147_U,18,73,6,35,7,3,4,31,,30,,72
118_0_7148_U,30,72,29,38,,,78,77,,,,
119_0_7149_U,20,73,19,58,0,,89,88,,,,
120_0_7150_U,86,106,9,105,8,96,50,32,,33,,102
121_0_7152_U,4,68,6,58,,,72,71,,,,
122_0_7154_U,104,118,89,15,90,16,1,2,,42,,43
123_0_7155_U,40,90,41,83,,,5,4,3,36,7,85
124_0_7157_U,21,52,19,55,27,,,,,,,55
125_0_7158_U,64,12,40,11,,,70,74,,,,
126_0_7159_U,63,75,62,73,,44,37,0,1,85,62,74
127_0_7160_U,69,27,51,29,,,104,105,,,,
128_0_7161_U,51,17,53,15,,,95,94,,,,
129_0_7162_U,60,25,51,28,,,1,2,,3,,27
130_0_7163_U,24,74,7,73,3,2,68,60,,65,,73
131_0_7164_U,37,0,31,1,32,9,93,90,,,,
132_0_7165_U,49,42,47,7,5,6,3,2,13,,12,
133_0_7166_U,63,36,62,33,,,3,2,,12,,13
134_0_7167_U,35,67,31,68,,,84,87,,,,
135_0_7168_U,10,26,8,25,15,24,97,82,,,,
136_0_7170_U,65,37,63,4,,,85,78,,,,
137_0_7171_U,13,42,16,39,25,7,4,3,45,2,15,40
138_0_7172_U,0,46,4,44,5,,71,73,,,,
139_0_7173_U,38,16,40,18,,21,89,83,,,,
140_0_7176_U,13,69,16,67,,,,30,20,,15,68
141_0_7177_U,22,90,20,91,,,8,35,34,,21,
